"id","name"
"1","Сидан"
"2","Хечбек"
"3","Универсал"
"4","Кроссовер"
"5","Внедорожник"
"6","Минивэн"
"7","Пикап"
"8","Купе"
"9","Кабриолет"
"10","Лимузин"
